address,gft_balance
0x055a3b37957bfbd3345bed9968e7e8dd56d67066,20176199973448601503350
0x5e57508ce9ad4790f3d6e605a1c3434849dce2d4,19987915014806191538479
0xef1363d4ba7e0551283f6856c9e8346654573eab,19982000000000000000000
0xd3561b37ecb372d7e999062f3de9d8dbc3082b9f,19625366742430000000000
0x8fa23f4a309c77de7e67ee0ccbb1328464820ca1,19519613192050000000000
0xc3acaf4cacddf82a54da10cc2da736fe728ede1c,19466958312000000000000
0x051175a4b8cdb305c54c120776247dc3db4c9669,19340468000000000000000
0x6d2cafd03bdb61631f39ea825ae71c5e508a3ef6,19202706000000000000000
0x4e157fb19a0f8843c92612010dd7e17c834200aa,18989176840000000000000
0xea7c2f7885930ed7c61628f51ac523a629b3e8ae,18884370000000000000000
0x6c95df02c4da9c5c38f8b7de2d12e547208de9f8,18840346899990000000000
0x02505a3f9c7a09baa0f13d8564f8446becf1f55e,18823956800000000000000
0xf3bb5a77194f015cedf81eafee8ed7821cf17f58,18340917700000000000000
0x35a48771497d60366c54ae6527ccaa237848087c,18293390000000000000000
0x57ee575becd38f89f6776d6426dcf91d16f468fc,18291251400000000000000
0x190eb40aa9729f2c476d14b37ad3ef0aa9ab8bc6,18239853800000000000000
0x093104d546e36531c91c632172fadd1c8e9e9f6f,18207840000000000000000
0x2bf678efb4fd492cfe365e75bc78ca6ee5f755d9,18158826836000000000000
0x94e175781785ddc9b716f01db46dbce8dbcb9700,17998830000000000000000
0x77c4f3dd56ad0ababd2f40fb4438e3b1523db72f,17894119175300000000000
0x0a1b51584da55e8ebb9d632a17511543fc63922c,17738583884940000000000
0x0601e9431bfccb7aa93cde8ba4d91ca72cb2ff5b,17651260349910000000000
0x91059147e7f0bc437a6e68b0be5d062d69367742,17246755647210000000000
0x249caf3fc4c2b84ccb59240e5e9b6700c9f05f16,17074032000000000000000
0x5b8ff14f1d2ff96551bd8fbabaaf1cbdba9a9f31,16943948305730000000000
0x868f027a5e3bd1cd29606a6681c3ddb7d3dd9b67,16553617181962619120792
0x047e569ab3b399c5fcfcda6615a3c95c716f8637,16501000000000000000000
0x2c79219e6a35a156ac79441f4e09a8fea6b16d58,16419490000000000000000
0x0b48681b9a37f5aa075ea3fe851faf9b945ca5d6,16401415826000000000000
0x1e1be2a06c7e56d17be9aae8cdea69d976a58712,16289050000000000000000
0x3b6827b9f98b3234a16923a5d95860053f9681da,16241520000000000000000
0x5545e09736272e94c524afcf96eaef95885e3ac5,16136811000000000000000
0x60b5efe6ef4c79145121b0c1c5c001bac37355a0,16088569000000000000000
0x912a893e7f0fbd510d83824ef5e139f1367537e5,15996360000000000000000
0xcf0c41f5154da68668db7aaafd25b16361cf7fd7,15982930000000000000000
0xe362122c0a2f9e6784972cc83d1d58669b2bb662,15925697200000000000000
0x75f59c8e78f87a17846ec74058ade3dfae856e0b,15892987492960000000000
0xcd6b2f67abc1f1a78941c486d319228c8ee2c8f2,15839000000000000000000
0x86496f60635b9f8957fc21c2aef96ba5d6e53d2a,15463962807550000000000
0xf922681cf32c7e6a5b5957db7eff47af35910b89,15458000000000000000000
0xb2ae6003a1528eba3143334b133b6367b972638c,15235000000000000000000
0x85685f2a05099e1c2ac9c690ccf3f200e097239d,15160400000000000000000
0x2a169ac1325b8801ced9b5399baebace81641ac0,15000000000000000000000
0xefdcaab48c3ec26d24205aac8078b8343afd4c06,14983840000000000000000
0xb3580dc0ee83abc5528468e74162fa8141ae3e71,14973770000000000000000
0x9c4dbaaaba87d1bda519a78c6615009389d8b0a0,14960000000000000000000
0xf8da637d57838dbbae1f3fd0c150f508cfb000af,14933606054510000000000
0x091669ec9ae59ee7394573506d21959a351f81d6,14912000000000000000000
0x3228b919f259b5740a1ea08e92e64fcf4ce6fd56,14887066000000000000000
0xfe537e0a13e9e729a4d8fb0d786b6226b69d0e3d,14854110900000000000000
0x94a64537271ccb2af7253cf0904c80336af55722,14667230000000000000000
0xdc6a692b8c4165392d0b84e9561a5a5bdd9cb4a5,14645514000000000000000
0xcfa6853f2eb93972bc97168c126f907fc0c07aa5,14471000000000000000000
0x95009a59be03af0a7dacf8f056d2411fbae628a8,14460350270254693386308
0x1e25749d4b3cda3eb8540b3ac4516331ebeade22,14359906340350000000000
0x0ece3b6746666718343d7449c51bc29a5315b208,14264689000000000000000
0xb9856f5499384af1e577a6764b0f06bae6542034,14256306470216054835308
0x65d555e623b79754c12022babf76957bdb043c50,14229448053100000000000
0x841167cf6fe9bbcf4b1f08b4559ca473a580a713,13915950100000000000000
0x2dfa1d5abd3df5654e28f1bb4552a305bae511d9,13855327000000000000000
0x5d7a28c9c83c0f28f9d7c1bf90e935589b41fce7,13707412500000000000000
0xde9179acde9b039bb342cda5f826aaf932dc580f,13669601000000000000000
0xa89185e6acda7871daec12f57724a9ff36be8f59,13643800000000000000000
0xa634f9d4d4e07d1f634757c9b1f7d0d12f067a69,13573221777360000000000
0xa6c2cd9cfa317f0dc0389fc592baee510ce68b61,13380537921700000000000
0x1be224e52064dafdb9baf2259c209ecea7ffaaf3,13334000000000000000000
0x4800a856eeaa43fb95af3497e465c2af9abe7046,13174805800000000000000
0x191c5def6808a3c736ac9535fb99a9d6ec9f91dd,13166913130000000000000
0x37253b5fe482f284ef9b24dbd612dc3998ef1388,13134650056980000000000
0x3d1ad5b2f9619025cf7d02b13b368b16f09ed84b,12959286635249029691666
0x6db6558c07ed0b7c207c3c935584caa83ded415d,12900456000000000000000
0x1f5981ac5614920adb5f5266fd929e4473df7a17,12738889960680000000000
0x75f1048721986b8f7b06ac862bbfb6d3a5f2cb79,12710536844780000000000
0x72ff5742319ef07061836f5c924ac6d72c919080,12632686305840518702965
0xfb701c417f95505faffabb926a06b8979e829781,12615336000000000000000
0xd65448affe1475f101378a744a62c00f04cf50d6,12548171956810000000000
0x70469a6e4c5971beb91694263d211fd06ee0366d,12452499000000000000000
0x0ca9740508886929ba5e127e2f75928ab263c31d,12286714600000000000000
0x31fe7a5f938187ca1e9112c60f3ee2cdbe86dced,12278700000000000000000
0x2f539065f636040881979bd9891ae9a2fbb9cf86,12166660000000000000000
0xf83a567e2b7cf4db966291c64013b28d7a4493dd,11832944100000000000000
0x59a2f07c6dcfaf90dc39edb945358873797bcce2,11615827975430000000000
0x3bfcf8f64a1101c55cd551964a4d0683bc005434,11551634600000000000000
0x26d9eeb9da0cceba8d655ce7836d2e8ac83e07f2,11499295285400000000000
0xf3e0438b9b83c32958227c39374bd446931e187f,11301709243580000000000
0xaa225debba41f3fe900ab2229d8c7aaecb5f2c18,11193886379780000000000
0x56ac716d5a37ab9fff3243606107e7eccf291a10,11154948333465703615046
0x3039e3372bb58fe79a23e0a589c1cd4f5721a019,11010075200000000000000
0xc4028594506e5779f87c86f1261262fefc0cfeeb,10993878100000000000000
0x8fb1a7cd66c8ae40ea480f937b5d54b0eec52563,10895920000000000000000
0xf63e24b98135c038a01b85f5a2ef139b056fb690,10798175000000000000000
0x291c436bbc73a5c5d25ae1f55ad258df98e0a94d,10705300000000000000000
0xff7a2f4a9f2635fb6038d32125f616a954fa3b17,10681320000000000000000
0x9fd98e2d5cce2b768e6745cc605bcd7c6f14b405,10611000000000000000000
0x790d23992a9709737070033e254c3bc21bc668ee,10586019000000000000000
0x692a1d3521221017e61a9733aec86ee3612a3126,10510000000000000000000
0x575b2d901ddfc0f5dc615d80264cc2a5d5107b4f,10417840000000000000000
0xf9d5a2c7665e9a126e58ec59c68bf931121b55fd,10336726300000000000000
0x6b91c6555ba6cfc2f2be20b805b22efa93bfb7c1,10241934382910000000000
0x43c660889d5cc2b50b898d7e8b15a92abced1253,10225947000000000000000
0x359c634ba5b7a56b3c58107495765311951f68f7,10197373982530000000000
0x8ea970324761a3569b86f65259e52883be5ff3f7,10175000000000000000000
0x4de2769420ac9e19617be0ba516b7ee36cca4957,10166959600000000000000
0xf6b875659515af9699b6a4b01d8120a9f2ff8f2d,10163000000000000000000
0xa3e48777f436012aaa1cdc6cd0838f729b04f7c5,10155916098310000000000
0x8ae54d899f4aba981d83d6f497c9b1d8f739eded,10155651991940000000000
0x01bfe67feba60fc4ac148f22de45876d3700a291,10119749600000000000000
0x1653bf0b0eace0edd7e98d48b02d30d3016b3e9b,10097585419520000000000
0xfe0ef03c4fcbc1dc956f1497a7c53be2a9370c1b,10029539107590000000000
0x20968044c1e200a2ed49dbc57e5fa02688739073,9999000000000000000000
0x13c27277e4f1e9e984f1179388024b5433482adc,9974391677030000000000
